Id,Open,Close,High,Low,Volume,Date
2562,1215.63,1214.7,1224.45,1214.15,,04-06-2015
2563,1204.2,1195.03,1208.775,1195.02,,04-02-2015
2564,1184.2,1204.2,1208.6,1181.35,,04-01-2015
2565,1186.4,1183.5,1190.45,1178.77,,03/31/15
2566,1197.7,1186.2,1198.25,1182.82,,03/30/15
2567,1199.3,1199.3,1199.3,1199.3,,03/29/15
2568,1204.55,1199.3,1206.15,1193.1,,03/27/15
2569,1195.2,1204.6,1219.7,1194.75,,03/26/15
2570,1192.5,1195.3,1199.8,1186.85,,03/25/15
2571,1189.85,1192.45,1195.05,1185.55,,03/24/15
2572,1186.05,1189.85,1191.7,1179.55,,03/23/15
2573,1182.85,1185.95,1186.75,1182.85,,03/22/15
2574,1171.45,1182.85,1187.35,1168.95,,03/20/15
2575,1167.8,1171.2,1177.63,1160.55,,03/19/15
2576,1149.55,1168.68,1174.35,1146.27,,03/18/15
2577,1154.9,1149.85,1159.5,1143.65,,03/17/15
2578,1157.2,1154.7,1164.05,1150.65,,03/16/15
2579,1158.15,1156.7,1158.4,1156.4,,03/15/15
2580,1154.53,1159.48,1161.75,1151.55,,03/13/15
2581,1154.95,1154.33,1166.3,1149.5,,03-12-2015
2582,1162.8,1155.45,1165.25,1148.35,,03-11-2015
2583,1167.75,1162.6,1170.25,1156.1,,03-10-2015
2584,1168.8,1167.35,1175.35,1162.15,,03-09-2015
2585,1169.7,1169.5,1169.75,1167.7,,03-08-2015
2586,1199.35,1168.7,1200.68,1164.35,,03-06-2015
2587,1200.7,1193,1209.15,1193,,03-05-2015
2588,1205.05,1198,1208.85,1198,,03-04-2015
2589,1206.25,1204.2,1214.4,1195.85,,03-03-2015
2590,1214.25,1206.68,1223.35,1204.9,,03-02-2015
2591,1209.9,1213.8,1219.35,1204.75,,02/27/15
2592,1205.05,1209.25,1220.1,1204.15,,02/26/15
2593,1201.45,1204.15,1211.95,1201.25,,02/25/15
2594,1202.6,1201.05,1204.53,1190.8,,02/24/15
2595,1203.15,1201.6,1210.15,1191.45,,02/23/15
2596,1207.65,1202.6,1214.48,1198.6,,02/20/15
2597,1214,1207.35,1222.9,1205.78,,02/19/15
2598,1209.2,1214,1214,1198,,02/18/15
2599,1232.3,1209.65,1233.8,1204,,02/17/15
2600,1228.4,1231.2,1236.65,1228.25,,02/16/15
2601,1223.4,1228.6,1234.9,1222.93,,02/13/15
2602,1218.65,1218.5,1230.85,1218.5,,02-12-2015
2603,1234.3,1216.4,1238.65,1216.4,,02-11-2015
2604,1238.9,1233.7,1245.78,1231.45,,02-10-2015
2605,1234.88,1238.95,1243.65,1234.88,,02-09-2015
2606,1267.05,1234,1268.85,1228.85,,02-06-2015
2607,1270.1,1264.25,1273.8,1257.65,,02-05-2015
2608,1262.15,1269.08,1272,1257.05,,02-04-2015
2609,1284.85,1260.6,1284.95,1255.9,,02-03-2015
2610,1281.05,1285,1285,1266.85,,02-02-2015
2611,1258.55,1283.6,1284.9,1257.63,,01/30/15
2612,1284.85,1258.35,1285.8,1252.45,,01/29/15
2613,1292.68,1283.45,1293.78,1280.48,,01/28/15
2614,1281.05,1296.5,1297,1272.88,,01/27/15
2615,1294.65,1281.28,1299.15,1276.15,,01/26/15
2616,1301.1,1295.35,1302.05,1285.05,,01/23/15
2617,1292.35,1302.25,1306.4,1280.05,,01/22/15
2618,1295,1293.1,1305.15,1286.05,,01/21/15
2619,1276.05,1294.35,1297.25,1274.35,,01/20/15
2620,1281.45,1279.9,1281.45,1272.6,,01/19/15
2621,1262.95,1279.4,1281.75,1255.4,,01/16/15
2622,1229.65,1263.6,1265.86,1226.25,,01/15/15
2623,1231.55,1229.35,1243.6,1225.7,,01/14/15
2624,1233.15,1230.75,1243.7,1228.63,,01/13/15
2625,1224.1,1233.15,1235.65,1219.2,,01-12-2015
2626,1207.95,1223.05,1223.65,1207.55,,01-09-2015
2627,1211.55,1208.85,1216.4,1204.98,,01-08-2015
2628,1218,1212.5,1218.65,1209.15,,01-07-2015
2629,1203.3,1213.2,1222.4,1201.9,,01-06-2015
2630,1188.4,1210,1210,1179.1,,01-05-2015
2631,1184.6,1190.1,1194.35,1169.35,,01-02-2015
2632,1200.25,1183.4,1203.85,1180.25,,12/31/14
2633,1182.9,1200.25,1209.45,1181.05,,12/30/14
2634,1182.99,1182.99,1197.6,1179.35,,12/29/14
2635,1178.7,1195.85,1199.15,1176.7,,12/26/14
2636,1173.1,1173.1,1173.1,1173.1,,12/25/14
2637,1177.8,1175.2,1181.15,1173.15,,12/24/14
2638,1176.9,1170.2,1184.25,1170.2,,12/23/14
2639,1194.7,1177,1201.73,1170.9,,12/22/14
2640,1198.1,1194.55,1201.25,1194,,12/19/14
2641,1189.25,1198.15,1213.15,1189.15,,12/18/14
2642,1195.8,1179.5,1202.93,1179.5,,12/17/14
2643,1193.65,1195,1221.45,1189.15,,12/16/14
2644,1221.35,1193.3,1224.15,1190.99,,12/15/14
2645,1216.5,1216.5,1216.5,1216.5,,12/14/14
2646,1227.25,1222.1,1228.2,1215.05,,12-12-2014
2647,1226.4,1227.2,1232.85,1216.4,,12-11-2014
2648,1231.35,1225.4,1238.25,1225.13,,12-10-2014
2649,1203.6,1231.5,1237.2,1199.55,,12-09-2014
2650,1188.15,1203,1208.45,1187.65,,12-08-2014
2651,1192.8,1192.8,1192.8,1192.8,,12-07-2014
2652,1205.1,1192.8,1206.95,1186.5,,12-05-2014
2653,1208.85,1205.9,1213.3,1201.53,,12-04-2014
2654,1197.2,1209.8,1214.1,1194.78,,12-03-2014
2655,1210.65,1198.275,1218.85,1192.45,,12-02-2014
2656,1159.85,1211.605,1221.18,1143.75,,12-01-2014
2657,1189.25,1167.1,1190.6,1166.35,,11/28/14
2658,1197.55,1194.25,1199.75,1186.25,,11/27/14
2659,1201.55,1198.58,1201.95,1195.25,,11/26/14
2660,1198.15,1201.15,1202.75,1190.7,,11/25/14
2661,1202.15,1198.5,1204.25,1193.08,,11/24/14
2662,1193.75,1201.6,1206.9,1187.73,,11/21/14
2663,1182.25,1189.6,1196.85,1177.1,,11/20/14
2664,1196.25,1178,1202.15,1175.8,,11/19/14
2665,1186.8,1197.4,1204.25,1183.7,,11/18/14
2666,1185.8,1186.95,1194.35,1181.85,,11/17/14
2667,1162.5,1189.65,1193.35,1148.15,,11/14/14
2668,1161.95,1163.1,1167.35,1154.35,,11/13/14
2669,1164.55,1165.1,1170.2,1157.5,,11-12-2014
2670,1151.18,1140,1172.75,1140,,11-11-2014
2671,1174.65,1147.6,1177,1147.55,,11-10-2014
2672,1140.2,1178.7,1179.13,1132.65,,11-07-2014
2673,1142.2,1142.43,1149.1,1138.25,,11-06-2014
2674,1168.95,1140.5,1169.65,1138.05,,11-05-2014
2675,1165.4,1168.6,1173.25,1164.1,,11-04-2014
2676,1167.75,1167.9,1173.65,1162.65,,11-03-2014
2677,1174.4,1174.4,1174.4,1174.4,,11-02-2014
2678,1200.35,1174.4,1202.7,1161.65,,10/31/14
2679,1211.2,1200.2,1215.64,1196.3,,10/30/14
2680,1228.45,1211.09,1230.6,1209.01,,10/29/14
2681,1226.45,1228.23,1234.85,1222.83,,10/28/14
2682,1228.5,1226.05,1231.85,1225.45,,10/27/14
2683,1230.3,1228.25,1230.8,1227.6,,10/26/14
2684,1232.45,1231.45,1234.08,1229.15,,10/24/14
2685,1241.75,1229.3,1244.7,1226.65,,10/23/14
2686,1249.3,1241.2,1249.85,1240.65,,10/22/14
2687,1247.45,1249.3,1255.05,1245.53,,10/21/14
2688,1237.5,1242.91,1248.25,1234.85,,10/20/14
2689,1238.1,1238.55,1241.65,1232.35,,10/17/14
2690,1239.8,1240.7,1245.25,1235.75,,10/16/14
2691,1232.55,1241.23,1249.36,1222.07,,10/15/14
2692,1236.15,1227.6,1237.33,1227.6,,10/14/14
2693,1226.8,1236.9,1236.9,1225.2,,10/13/14
2694,1223.45,1223.45,1223.45,1223.45,,10-12-2014
2695,1224,1223.45,1225.45,1217.5,,10-10-2014
2696,1220.1,1223.91,1233.25,1219.15,,10-09-2014
2697,1209.35,1224,1224,1205.2,,10-08-2014
2698,1206.85,1208.6,1212.85,1203.05,,10-07-2014
2699,1186.85,1207.15,1208.73,1184.15,,10-06-2014
2700,1213.85,1190.85,1215.45,1190.25,,10-03-2014
2701,1213.35,1214.35,1221.95,1209.04,,10-02-2014
2702,1208.45,1213.1,1219.2,1205.05,,10-01-2014
2703,1215.25,1204,1219,1204,,09/30/14
2704,1218.6,1215.2,1223.3,1215.15,,09/29/14
2705,1221.15,1219.5,1229.95,1212.6,,09/26/14
2706,1217.15,1222.13,1224.43,1207.25,,09/25/14
2707,1223.25,1216.85,1225.75,1216,,09/24/14
2708,1215.48,1222.7,1233.7,1214.35,,09/23/14
2709,1216.15,1214.95,1220.05,1208.9,,09/22/14
2710,1225.2,1216.45,1228.35,1214.15,,09/19/14
